id,name,year,duration,genre,actors
115,The Maze Runner,2014,1h 53m,"Action,Mystery,Science Fiction,Thriller","Dylan O'Brien,Kaya Scodelario,Ki Hong Lee,Aml Ameen,Blake Cooper"
116,The Incredible Hulk,2008,1h 54m,"Science Fiction,Action,Adventure","Edward Norton,Liv Tyler,Tim Roth,William Hurt,Tim Blake Nelson"
117,Jurassic World: Fallen Kingdom,2018,2h 9m,"Action,Adventure,Science Fiction","Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith,Daniella Pineda"
118,Fantastic Beasts and Where to Find Them,2016,2h 13m,"Adventure,Family,Fantasy","Eddie Redmayne,Colin Farrell,Katherine Waterston,Dan Fogler,Alison Sudol"
119,Hunter Killer,2018,2h 2m,"Action,Thriller","Gerard Butler,Gary Oldman,Toby Stephens,Common,Michael Nyqvist"
120,X-Men: Days of Future Past,2014,2h 11m,"Action,Adventure,Fantasy,Science Fiction","Hugh Jackman,James McAvoy,Michael Fassbender,Jennifer Lawrence,Halle Berry"
121,The Predator,2018,1h 47m,"Science Fiction,Action,Thriller,Adventure,Horror","Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key,Olivia Munn"
122,Mission: Impossible - Fallout,2018,2h 28m,Action,"Tom Cruise,Rebecca Ferguson,Michelle Monaghan,Ving Rhames,Henry Cavill"
123,Pulp Fiction,1994,2h 34m,"Thriller,Crime","John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames"
124,The Ash Lad: In the Hall of the Mountain King,2017,1h 40m,"Adventure,Fantasy","Vebjørn Enger,Mads Sjøgård Pettersen,Elias Holmen Sørensen,Allan Hyde,Eili Harboe"
125,Titanic,1997,3h 14m,"Drama,Romance,Thriller","Kate Winslet,Leonardo DiCaprio,Billy Zane,Kathy Bates,Frances Fisher"
126,Star Wars: Episode I - The Phantom Menace,1999,2h 16m,"Adventure,Action,Science Fiction","Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd,Ahmed Best"
127,Big Hero 6,2014,1h 42m,"Adventure,Family,Animation,Action,Comedy","Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung"
128,Teen Spirit,2019,1h 32m,"Music,Drama","Elle Fanning,Rebecca Hall,Zlatko Burić,Millie Brady,Jordan Stephens"
129,Terminator 2: Judgment Day,1991,2h 17m,"Action,Thriller,Science Fiction","Arnold Schwarzenegger,Linda Hamilton,Robert Patrick,Edward Furlong,Michael Edwards"
130,Harry Potter and the Order of the Phoenix,2007,2h 18m,"Adventure,Fantasy,Family,Mystery","Daniel Radcliffe,Rupert Grint,Emma Watson,Michael Gambon,Ralph Fiennes"
131,Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,"Adventure,Fantasy,Family","Daniel Radcliffe,Emma Watson,Rupert Grint,Ralph Fiennes,Helena Bonham Carter"
132,Instant Family,2018,1h 58m,"Comedy,Drama","Mark Wahlberg,Rose Byrne,Isabela Moner,Margo Martindale,Julie Hagerty"
133,The Godfather,1972,2h 55m,"Drama,Crime","Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall"
134,Fight Club,1999,2h 19m,Drama,"Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf,Jared Leto"
135,The Public,2019,2h 2m,Drama,"Emilio Estevez,Jena Malone,Taylor Schilling,Michael Kenneth Williams,Alec Baldwin"
136,Transformers: The Last Knight,2017,2h 29m,"Action,Science Fiction,Thriller,Adventure","Mark Wahlberg,Josh Duhamel,Stanley Tucci,Anthony Hopkins,Laura Haddock"
137,Se7en,1995,2h 7m,"Crime,Mystery,Thriller","Brad Pitt,Morgan Freeman,Gwyneth Paltrow,John C. McGinley,Kevin Spacey"
138,Inherent Vice,2014,2h 28m,"Comedy,Romance,Crime,Drama,Mystery","Joaquin Phoenix,Josh Brolin,Owen Wilson,Katherine Waterston,Reese Witherspoon"
139,Get Out,2017,1h 44m,"Mystery,Thriller,Horror","Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones"
140,Batman Begins,2005,2h 20m,"Action,Crime,Drama","Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman"
141,The Lord of the Rings: The Two Towers,2002,2h 59m,"Adventure,Fantasy,Action","Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Liv Tyler"
142,The Head Hunter,2019,1h 12m,"Horror,Fantasy","Christopher Rygh,Cora Kaufman"
143,The Meg,2018,1h 53m,"Action,Science Fiction,Thriller,Horror","Jason Statham,Li Bingbing,Rainn Wilson,Cliff Curtis,Ruby Rose"
144,Whiplash,2014,1h 47m,"Drama,Music","Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell"
145,Toy Story,1995,1h 21m,"Animation,Comedy,Family","Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn"
146,Twilight,2008,2h 2m,"Fantasy,Drama,Romance","Kristen Stewart,Robert Pattinson,Billy Burke,Taylor Lautner,Peter Facinelli"
147,Ready Player One,2018,2h 20m,"Adventure,Science Fiction","Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe,T.J. Miller"
148,Dawn of the Planet of the Apes,2014,2h 10m,"Science Fiction,Action,Drama,Thriller","Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell"
149,The Nutcracker and the Four Realms,2018,1h 39m,"Fantasy,Adventure,Family","Keira Knightley,Mackenzie Foy,Eugenio Derbez,Matthew Macfadyen,Richard E. Grant"
150,X-Men: Apocalypse,2016,2h 24m,"Action,Adventure,Science Fiction,Fantasy","James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Oscar Isaac"
151,Gone Girl,2014,2h 29m,"Mystery,Thriller,Drama","Ben Affleck,Rosamund Pike,Carrie Coon,Neil Patrick Harris,Tyler Perry"
152,Overlord,2018,1h 50m,"Horror,War,Science Fiction","Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbæk,John Magaro"
153,Chappie,2015,2h 0m,"Crime,Action,Science Fiction","Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo"
154,Secret Love: The Schoolboy and the Mailwoman,2005,1h 32m,"Drama,Romance","Kostja Ullmann,Marie Bäumer,Wotan Wilke Möhring,Rolf Kanies,Claudia Messner"
155,Taken 3,2014,1h 49m,"Thriller,Action","Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott"
156,The Imitation Game,2014,1h 53m,"History,Drama,Thriller,War","Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech"
157,Isn't It Romantic,2019,1h 29m,"Comedy,Fantasy,Romance","Rebel Wilson,Adam Devine,Liam Hemsworth,Priyanka Chopra,Betty Gilpin"
158,The Equalizer 2,2018,2h 2m,"Thriller,Action,Crime","Denzel Washington,Pedro Pascal,Ashton Sanders,Orson Bean,Bill Pullman"
159,Beauty and the Beast,2017,2h 9m,"Family,Fantasy,Romance","Emma Watson,Dan Stevens,Luke Evans,Kevin Kline,Josh Gad"
160,The Dark Knight Rises,2012,2h 45m,"Action,Crime,Drama,Thriller","Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy"
161,The First Purge,2018,1h 37m,"Action,Science Fiction,Thriller,Horror","Y'lan Noel,Lex Scott Davis,Joivan Wade,Mugga,Lauren Vélez"
162,A Simple Favor,2018,1h 57m,"Thriller,Crime,Mystery,Comedy,Drama","Anna Kendrick,Blake Lively,Henry Golding,Andrew Rannells,Rupert Friend"
163,Inside Out,2015,1h 35m,"Drama,Comedy,Animation,Family","Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black"
164,The Hunger Games: Mockingjay - Part 1,2014,2h 3m,"Science Fiction,Adventure,Thriller","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland"
165,The Purge: Anarchy,2014,1h 44m,"Horror,Thriller","Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,Zoë Borde"
166,Schindler's List,1993,3h 15m,"Drama,History,War","Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall"
167,Ted 2,2015,1h 55m,Comedy,"Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi"
168,Fury,2014,2h 15m,"War,Drama,Action","Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,Jon Bernthal"
169,Solo: A Star Wars Story,2018,2h 15m,"Action,Adventure,Science Fiction","Alden Ehrenreich,Joonas Suotamo,Emilia Clarke,Woody Harrelson,Donald Glover"
